"trigger_name","table_name","trigger_definition"
"RI_ConstraintTrigger_c_29590","articles","CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_c_29590" AFTER INSERT ON public.articles FROM auth.users NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_check_ins"()"
"RI_ConstraintTrigger_c_29591","articles","CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_c_29591" AFTER UPDATE ON public.articles FROM auth.users NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_check_upd"()"
"RI_ConstraintTrigger_a_29602","articles","CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_29602" AFTER DELETE ON public.articles FROM article_media NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()"
"RI_ConstraintTrigger_a_29603","articles","CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_29603" AFTER UPDATE ON public.articles FROM article_media NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()"
"RI_ConstraintTrigger_c_29604","article_media","CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_c_29604" AFTER INSERT ON public.article_media FROM articles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_check_ins"()"
"RI_ConstraintTrigger_c_29605","article_media","CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_c_29605" AFTER UPDATE ON public.article_media FROM articles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_check_upd"()"
"RI_ConstraintTrigger_a_29617","articles","CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_29617" AFTER DELETE ON public.articles FROM files NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_cascade_del"()"
"RI_ConstraintTrigger_a_29618","articles","CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_a_29618" AFTER UPDATE ON public.articles FROM files NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_noaction_upd"()"
"RI_ConstraintTrigger_c_29619","files","CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_c_29619" AFTER INSERT ON public.files FROM articles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_check_ins"()"
"RI_ConstraintTrigger_c_29620","files","CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_c_29620" AFTER UPDATE ON public.files FROM articles NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_check_upd"()"
"RI_ConstraintTrigger_c_29550","users","CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_c_29550" AFTER INSERT ON public.users FROM auth.users NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_check_ins"()"
"RI_ConstraintTrigger_c_29551","users","CREATE CONSTRAINT TRIGGER "RI_ConstraintTrigger_c_29551" AFTER UPDATE ON public.users FROM auth.users NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION "RI_FKey_check_upd"()"
